3CL	is-a	proteases
3CL proteases	has-property	2019-nCoV
3CL proteases	in-context	SARS-CoV
3D lung mask	in-context	volume
3D model	entails	2019-nCoV
3D model	in-context	2019-nCoV
3a protein	in-context	SARS-CoV
4	in-context	angiotensin converting enzyme 2 (ACE2)
4.32%	in-context	parents
4.9	in-context	days
40%	same-as	12
42-108 46 hpi	has-property	Infected
42-108 46 hpi	is-a	cell
44,672	in-context	cases
44,672	in-place	China
44-84 residues	in-context	Human SARS
44-84 residues	in-context	SARS-CoV-2
48-84 residues	in-context	Bat CoV
4X	in-context	HEK293
4X	is-a	dosage
5	in-context	angiotensin converting enzyme 2 (ACE2)
5.0	in-context	days
5.0%	in-context	2019
5.2%	same-as	fatality
5.7%	same-as	fatality
5.8%	in-context	2020
5.84	in-context	days
50%	in-context	MERS
506	in-context	proteins
507	in-context	proteins
54	in-context	years
554 role	in-context	PL
58.33%	in-context	24
58.33%	in-context	patients
60.61%	in-context	concentrated
67	has-property	male
67	in-context	116
6X	in-context	PC-12
6X	is-a	dosage
7	in-context	mNGS
7 mNGS	has-property	critical
7 mNGS	in-context	settings
70%	in-context	identity
70% cross immunity	entails	virtual elimination
70% cross immunity	same-as	level of cross-immunity
72314	in-context	cases
78%	in-context	HCWs
79%	in-context	SARS-CoV
81.1%	in-context	parents
82%	has-property	remaining
82%	in-context	variation
82.1%	in-context	cases
85	in-context	countries
88%	in-context	bat-SL-CoVZC45
88%	in-context	bat-SL-CoVZXC21
9	in-context	sites
9%	entails	infection fatality risk (IFR)
9%	in-context	infected individuals
9-amino	in-context	acridine
9-amino acridine complex formation	in-context	SE-PGQs
95%	in-context	probability
96.08%	in-context	3CL proteases
99.8%	in-context	COVID-19
99.8%	in-context	illness
99.8%	in-place	UK
9X	in-context	SY5Y
9X	is-a	dosage
<1	in-context	CD4 / CD8
A	is-a	blood group
A	is-a	blood groups
A	is-a	groups
ABO	is-a	blood groups
ACE2	has-part	E329
ACE2	has-property	correlated
ACE2	has-property	human
ACE2	in-context	cells
ACE2	in-context	human
ACE2	in-place	infected
ACE2	is-a	functional receptor
ACE2	is-a	protein
ACE2	is-a	receptor
ADV	is-a	pathogen
AIPs	in-context	Some
ALT	has-property	elevated
AMBER	is-a	force field
AMI	in-place	patients
AN	is-a	motifs
AN	is-a	three conserved sequence motifs
AN	same-as	SARS-CoV
APP	same-as	amyloid precursor protein
APP/PS1dE9	has-part	amyloid precursor protein
APP/PS1dE9	has-part	presenilin-1
ARDS	has-property	critical
ARDS	in-place	admission
ARDS	in-time	few as 2 days
ARDS	is-a	complications
ARG 202	is-a	residues
ARG 459	is-a	residues
ARG 462	is-a	residues
ASFV	is-a	proteins
AST	has-property	elevated
ATP	has-property	bound
ATP	is-a	molecule
Alzheimer's mutations	has-property	familial
Alzheimer's mutations	in-context	APP/PS1dE9
Alzheimer's mutations	in-context	amyloid precursor protein
Analysis	in-context	effects
Analysis	target	effects
Another	in-context	source
April	in-time	2020
B	is-a	blood groups
B	is-a	groups
B CoVs	has-property	lineage
B#59	same-as	naphthyl ring system
BCR	is-a	antibodies
BN	is-a	motifs
BN	is-a	three conserved sequence motifs
Based	entails	conclude
Based	target	findings
Bat CoV	has-part	M proteins
Bat CoV	has-property	PPID score
Bat-CoV,	has-property	sequence similarity
Bat-SARSr-CoV RaTG13	causes	SARS-CoV-2
Bgh pA	has-property	redundant
Bgh pA	is-a	signals
BtCoV	in-context	samples
C	is-a	pathogen
C	is-a	species
C CoVs	has-property	lineage
C-terminal domain of XP	has-property	features
C-terminal domain of XP	in-place	membrane
CA12	entails	drug resistance
CA12	has-property	overexpressed
CA12	in-context	cancer
CCDC	entails	rate
CCDC	is-a	model
CCoV	has-part	S 103 protein
CCoV	is-a	strain A76
CCoV sequences	has-property	serotype
CCoV strain A76	has-property	recombinant S 103 protein
CD147	causes	invasion
CD147	has-part	peptide-9
CD147	has-property	associated
CD147	in-context	host cells
CD147	in-place	host cells
CD147-antagonistic peptide-9	has-property	binding rate
CD147-antagonistic peptide-9	has-property	effect
CD163+ cells	has-property	numbers
CD163+ cells	in-context	per villus
CD4	is-a	cells
CD4 + T	is-a	cells
CD8	has-property	percentage
CD8	is-a	cell
CD8	is-a	cells
CD8 + T	is-a	cells
CD8 + T cells	has-property	account
CFR	has-property	46%
CFR	has-property	true
CFR	in-context	COVID-19
CFR	in-context	failure
CFR	in-place	China
CFR	in-place	Hubei
CFR	same-as	between
CML	is-a	tumor
CMV	causes	pneumonitis
CMV	has-part	genomes
CN	is-a	motifs
CN	is-a	three conserved sequence motifs
COIVD-19	is-a	disease
COVID-19	causes	HCWs
COVID-19	causes	complications
COVID-19	causes	cough
COVID-19	causes	fever
COVID-19	causes	infection
COVID-19	causes	injury
COVID-19	causes	organic injury
COVID-19	causes	pneumonia
COVID-19	causes	symptoms
COVID-19	entails	chest CT imaging
COVID-19	entails	damage
COVID-19	entails	edema
COVID-19	entails	manifestations
COVID-19	entails	morbidity
COVID-19	entails	mortality
COVID-19	entails	require
COVID-19	entails	reverse transcription polymerase chain reaction
COVID-19	has-part	binding
COVID-19	has-part	loops
COVID-19	has-part	residues
COVID-19	has-part	strain
COVID-19	has-property	R0
COVID-19	has-property	contagious
COVID-19	has-property	disease course
COVID-19	has-property	disparity
COVID-19	has-property	duration
COVID-19	has-property	fatality
COVID-19	has-property	incubation period
COVID-19	has-property	infection
COVID-19	has-property	infectivity
COVID-19	has-property	interpersonal transmission capabilities
COVID-19	has-property	mild
COVID-19	has-property	more contagious
COVID-19	has-property	mortality
COVID-19	has-property	patients
COVID-19	has-property	period
COVID-19	has-property	pneumonia
COVID-19	has-property	r
COVID-19	has-property	rare
COVID-19	has-property	rate
COVID-19	has-property	regional disparity
COVID-19	has-property	severe
COVID-19	has-property	severity
COVID-19	has-property	subtype
COVID-19	has-property	transmissibility
COVID-19	in-context	Chongqing
COVID-19	in-context	[0.30, 0.32]
COVID-19	in-context	cases
COVID-19	in-context	failure
COVID-19	in-context	samples
COVID-19	in-place	China
COVID-19	in-place	Chongqing
COVID-19	in-place	UK
COVID-19	in-place	cases
COVID-19	is-a	beta-coronavirus
COVID-19	is-a	concern
COVID-19	is-a	coronavirus
COVID-19	is-a	coronavirus disease
COVID-19	is-a	coronaviruses
COVID-19	is-a	diseas
COVID-19	is-a	disease
COVID-19	is-a	epidemic
COVID-19	is-a	group
COVID-19	is-a	health threat
COVID-19	is-a	infections
COVID-19	is-a	novel coronavirus disease
COVID-19	is-a	pneumonia
COVID-19	is-a	virus
COVID-19 cases	has-property	confirmed
COVID-19 cases	has-property	newly
COVID-19 clusters	has-property	large
COVID-19 clusters	is-a	events
COVID-19 population	has-property	ICU admission
COVID-19 population	has-property	discharge
COVID-19 population	has-property	fatality
COVID-19 population	has-property	shorter incubation time
CP	is-a	pathogen
CT	has-property	pulmonary
CT	in-context	chest
CT	in-context	diagnosis
CT	in-context	method
CT	is-a	key point
CT	is-a	method
CT imaging	has-property	opacity
CT imaging	has-property	shadows
CT imaging	in-place	chest
CT imaging	is-a	Diagnosis criteria
CT scan	has-part	characteristics
CT scan	has-property	COVID-positive
CT scan	in-context	COVID-19
CT volume	in-context	input chest
CT-Mask	has-property	preprocessed
CT-Mask volume	has-property	preprocessed
CT-Mask volume	in-context	patient
CTLV1	is-a	variants
CTLV2	is-a	variants
CTLV3	is-a	variants
CTLV4	is-a	variants
CTT	in-context	WT
CVB3 3C pro	is-a	complex
CVL218	causes	antiviral activities
CVL218	has-property	higher distributions
CVL218	in-context	DMSO control group
CVL218	in-context	lung
CVL218	in-context	tissues
CVL218	is-a	antiviral treatment
CVL218	is-a	inhibitor
Ca 2+	has-property	stoichiometry
Ca 2+	in-context	MERS-CoV
Ca 2+ pools	has-property	extracellular
Ca 2+ pools	has-property	intracellular
Carriage	has-property	dynamic process
Carriage	is-a	process
Cas13d expression	causes	inhibitory activity
Cas13d-based	has-part	genetic
Ce:GAGG	has-property	rod-shaped
Ce:GAGG	is-a	crystals
Ce:GAGG crystals	has-property	rod-shaped
Chemokine signaling	is-a	pathways
Chemokine signaling	is-a	signaling pathways
Children	has-property	chronic kidney disease (CKD)
Children	in-context	chronic kidney disease
Children	is-a	high-risk group
Children	is-a	risk group
China	has-part	Chongqing municipality
China	has-part	Wuhan
Clinical studies	in-context	cases
CoV	has-property	COVID-19-related
CoV	has-property	RBD
CoV	has-property	SARS-related
CoV	in-context	COVID-19
CoV	in-context	SARS
CoVZC45	is-a	strains
CoVZXC21	is-a	strains
CoViD-19	has-property	severe
CoVs	has-property	lineage B
CoVs	has-property	lineage C
Comorbidities	has-property	associated
Comorbidities	in-context	infection
Comparing	subject	2019-nCoV
Comparing	target	MERS
Comparing	target	SARS-CoV
Concern	has-property	International
Concern	in-context	International
Concern	subject	Emergency
Concern	target	International
Considering	subject	complexity
Considering	subject	potentia
Considering	target	suggest
Construction	target	PPI
Coronavirus	causes	COVID-19
Coronavirus	causes	SARS
Coronavirus	in-context	COVID-19
Coronavirus	in-context	SARS
DBP	is-a	actin scavenger
DBP	is-a	protein
DHODHi	has-property	role
DHODHi	in-context	patients
DNA	has-property	viral
DNA	in-context	viral
DNA repair machinery	in-place	DNA damage
DNA sequencing	causes	respiratory infections
DNA sequencing	in-context	another case
DNA viruses	has-part	genomes
DNA viruses	has-property	pulmonary pathogenicity
DNA viruses	in-context	RNA intermediates
DNA viruses	in-context	five
DNA viruses	same-as	same
DPP4	same-as	receptor dipeptidyl peptidase 4
DUB	has-property	negative
DUB	in-context	containing
DUB	is-a	viruses
DUSP1	causes	increase
DUSP1	in-context	dephosphorylation
DeCoV-Net	has-property	trained
December	has-property	early
Diagnosis	has-property	challenging
Diagnosis	in-context	HCT
Diagnosis	in-context	LRTI
Diagnosis	in-context	recipients
Diagnosis	target	LRTI
Domestication	target	sporulation
E	is-a	proteins
E (envelope)	is-a	proteins
E1163	in-place	HR2
EAT density	has-property	low
EAT density	in-context	CT scan
EAT density	is-a	factors
ED	same-as	emergency department
EDS1	is-a	components
EVC	is-a	paralogs
EVC2	is-a	paralogs
EVC3.1	in-context	choanoflagellate
EVC3.1	in-context	sea anenome
EVC3.1	in-context	sea urchin ciliomes
EVC3.1	is-a	paralogs
EVC3.1	same-as	EVC3.2 323
EVC3.1	same-as	paralogs
EVC3.2	in-context	choanoflagellate
EVC3.2	in-context	sea anenome
EVC3.2	in-context	sea urchin ciliomes
EVC3.2	is-a	paralogs
EWS	in-context	COVID-19
Early	in-context	prolonged
Ebola	is-a	epidemic
Ebola	is-a	virus
Emergency	has-property	Public
Emergency	in-context	Concern
Emergency	in-context	Health
Escherichia coli	is-a	bacterial strains
Escherichia coli	is-a	strains
FCS	in-context	coronavirus evolution
FP	in-context	SARS-CoV
FP1	in-context	FP
FP1	in-context	n= 0.92
FP1_2	in-context	FP
FP1_2	in-context	n=1.7
FP2	in-context	FP
FP2	in-context	n= 1.02
Fever	has-property	less
Fudan-CCDC	entails	r
Fudan-CCDC	is-a	model
GFP-MAD2 L13A	has-part	mCherry-Mis12-MAD1 AA
GFP-MAD2 L13A	in-place	kinetochores
GFP-MAD2 L13A	in-place	metaphase kinetochores
GLU 286	is-a	residues
GLY 197	is-a	residues
GROMACS	has-property	version 4.5.7
GROMACS	in-context	4.5.7
GROMACS	in-context	AMBER
GVHD	same-as	graft versus host disease
GZ02	is-a	SARS viral strain
GZ02	same-as	SARS viral strain
Guangdong pangolin	is-a	coronaviruses
Guarani DNA	has-property	mutant
H5N1	is-a	influenza
H5N1	is-a	influenza virus infections
H7N1	is-a	influenza
H7N1	is-a	influenza virus infections
HA-NA	has-property	distributions
HA-NA distributions	has-property	polarized
HA-NA distributions	in-place	viruses
HCOV-229E	in-context	viruses
HCOV-229E	is-a	viruses
HCT	causes	noninfectious inflammatory conditions
HCT	in-context	recipients
HCW	in-context	78%
HCWs	has-property	Chinese
HCoV-HKU1	in-place	them
HCoV-OC43	in-place	them
HCoV-OC43	subject	induces
HEK293	in-place	human
HEK293	is-a	cell lines
HEK293	is-a	cells
HEK293	is-a	lines
HHV-6	causes	pneumonitis
HHV-6	is-a	genomes
HIV-1	has-part	protease
HKU9-1	has-property	ancestor
HKU9-1	in-context	SARS
HKU9-1	in-context	SARS-CoV-2
HRV-A	in-context	viruses
HRV-A	is-a	viruses
HSP90AA1	same-as	heat shock protein 90 alpha family class A member 1
Health	has-property	Public
Hospital-related transmission	in-time	early stages
Hospital-related transmission	is-a	causes for infection
Hubei	is-a	Province
Hubei Province	is-a	areas
Human SARS	has-part	M proteins
Human SARS	has-part	segment
Human SARS	has-property	PPID
Human SARS	has-property	PPID score
Human SARS	has-property	sequence similarity
I	is-a	serotype
IAPP	same-as	NNFGAIL
IAV	in-place	lung
IC values	in-context	processing
ICU	is-a	patients
ICU care	in-time	eventually
ICU care	subject	patients
ICU patients	has-property	respiratory failure
ICU patients	in-context	requiring
ID	has-property	6LU7
IDRs	has-property	polyampholytic
IDRs	in-context	proteome
IFN-I	causes	responding
IFN-β	in-context	mRNAs
II CCoV	in-context	sequences
IL-10	has-property	responsible
IL-10	is-a	cytokines
IL-10	is-a	serum
IL-33	causes	hypersensitivity
IL-33	has-property	levels
IL-33	in-context	elevated
IL-33	in-place	asthmatic
IL-33	in-place	smokers
IL-6	is-a	cytokines
ISG	has-property	transcriptomic signature
ISG	in-context	mRNAs
ISG	same-as	gene
Influenza A	causes	failure
Influenza A	same-as	H1N1
Influenza A (H1N1)	causes	respiratory failure
Initiation	causes	genome
Initiation	subject	replication
Irbesartan	has-part	targets
Isolation	target	cases
January	in-context	late
K(τ) = K(τ)/θ	same-as	proportion
K(τ) = g(τ)	same-as	equivalent
K929	in-place	HR1
KNTC1-null RPE	is-a	cells
Kd	has-part	folds
Kd	is-a	lesser
Kd	subject	estimated
L-A	is-a	proteins
LPS	causes	release
LYS 200	is-a	residues
Longer	entails	have to spent
Longer	target	times
Lower respiratory tract infections	causes	mortality
Lower respiratory tract infections	in-context	hematopoietic cellular transplant
Lower tract infections respiratory	same-as	LRTI
Lymphopenia	is-a	indicator
M	is-a	proteins
M (membrane),	is-a	proteins
M pro	has-part	site
M proteins	has-property	intrinsic disorder
M proteins	in-context	estimated mean PPID
M proteins	in-place	Bat CoV
M proteins	in-place	Human SARS
M proteins	in-place	SARS-COV-2
MAD1	causes	GFP-MAD2 L13A
MAD1	in-place	kinetochores
MCM	has-property	amounts
MCM	has-property	loaded
MD	in-context	simulation trajectory
MERS	in-context	samples
MERS-CoV	has-property	FP
MERS-CoV	is-a	Betacoronavirus genus
MERS-CoV	is-a	coronaviruses
MERS-CoV	is-a	respiratory pathogen
MERS-CoV RBD	has-property	key residues
MERS-Cov	is-a	viruses
MHV	in-context	samples
MP	is-a	pathogen
MRC5	is-a	cells
MSEIR	is-a	model
MSIR	is-a	model
MTase	has-part	region
MTase	has-property	non-functional
MTase region	has-property	non-functional
Measurements	in-context	ACE2
Measurements	in-context	proteins
Measurements	in-context	recombinant ACE2
Measurements	is-a	proteins
Metagenomic next generation sequencing	same-as	mNGS
Metagenomic next-generation sequencing	has-property	diagnostic
Middle East respiratory syndrome	same-as	(MERS)-CoV
Middle East respiratory syndrome	same-as	CoV MERS
Middle Eastern respiratory syndrome	same-as	MERS
Mn 2+	is-a	residues
Murine hepatitis virus	is-a	Betacoronavirus genus
N	is-a	proteins
N (nucleocapsid)	is-a	proteins
N-terminal (1-10 residues)	in-context	predicted disordered segment
N-terminal regions	in-context	S proteins
N8R	in-context	factors
N8R	is-a	factors
NB	same-as	negative binomial
NCP type	has-property	common
NL63	has-property	receptor
NLR	in-context	factors
NLR	in-place	patients
NLR	is-a	factors
NNK	is-a	primers
NNK	same-as	primers
NP-exo	has-part	infectious particle
NP-exo	has-part	particle
NP-exo	in-context	23000
NP-exo	is-a	viruses
NP-exo WT	has-part	infectious particle
NP-exo WT	has-part	particle
NP-exo WT	in-context	3600
NP-exo WT	is-a	viruses
NS2B-NS3pro	in-context	homology
NS2B-NS3pro	is-a	complex
NS2B-NS3pro complex	is-a	homology
NSP7	has-part	bundle
NSP7-NSP8	is-a	structure
NSP8	has-part	head
NTP	is-a	ion
Native Nanopore data	entails	rRNA
Nidovirales	has-part	coronaviruses
Non-ICU	is-a	patients
Nsp8	has-property	long disorder segment
Nsp8	is-a	proteins
O	is-a	blood groups
O	is-a	groups
ODE	has-property	mean-field
ODE	has-property	two-dimensional
ODE	same-as	field
OR	in-context	1.279
OR	same-as	1.279
ORF3b	has-property	Bat-CoV
ORF3b	has-property	Human SARS
ORF3b	has-property	SARS-CoV-2
ORF3b	in-context	Bat-CoV,
ORF3b	in-context	SARS-CoV-2
ORF3b	in-context	not closer
ORF3b	is-a	protein
ORF6	in-place	COVID-19
ORF6	in-place	HCov-HKU1
ORF6	is-a	genes
ORF8	in-place	COVID-19
ORF8	is-a	HCov-HKU1
ORF8	is-a	genes
ORF9b	has-part	N-terminal (1-10 residues)
ORF9b	has-property	N-terminal (1-10 residues) predicted disordered segment
ORF9b	has-property	mean PPID of 10.31%
ORF9b	in-context	PPID of 10.31%
ORF9b	in-context	SARS-CoV-2
ORF9b	is-a	protein
One	in-context	patient
One	in-context	these
Other	in-context	infections
P-type transistor	in-context	NOT gate
PAC-MAN)	is-a	huMAN cells
PAD4	is-a	components
PARP1	has-property	potential
PARP1	is-a	inhibitor
PARP2	in-context	response
PC-12	in-place	rat
PC-12	is-a	cell lines
PC-12	is-a	lines
PCR	in-context	Taq
PCT	is-a	marker
PD-1	has-property	percentage
PD-1	is-a	cell
PD-1	is-a	exhaustion markers
PD-1 + CD8 + T cells	in-context	ICU patients
PDB	has-property	ID
PEDV	causes	mortality
PEDV	is-a	infection
PID	has-property	range
PID range	in-context	occurs
PK	has-property	wellconserved
PK region	has-property	wellconserved
PL	has-property	pro
PL	in-context	suppression
PPI	has-property	most significant
PPI	same-as	Protein-protein interaction
PPI	same-as	interaction
PPID	has-property	mean
PPID score	has-property	mean
PPID score	same-as	1.12%
PPID score	same-as	1.41%
PPID score	same-as	1.85%
PS1dE9	same-as	presenilin-1
PWK/PhJ	has-property	founder
PWK/PhJ	is-a	founder
Patients	has-property	8.65%
People	has-property	blood group A
People	has-property	symptoms
People	in-context	blood group A
People	in-context	diagnosed
People	in-context	non-A blood groups
People	in-context	symptoms
People	is-a	subclinical cases
Phe	is-a	residues
Preventing	is-a	breakthroughs
Preventing	target	recognition
Prior	has-property	analyses
Prophylactic Antiviral CRISPR	has-property	genetic intervention
Prophylactic Antiviral CRISPR	in-context	huMAN cells
Prophylactic Antiviral CRISPR in huMAN cells (PAC-MAN)	is-a	strategy
R	has-property	2.1 to 4.2
R	in-context	COVID-19
R	in-context	HCoV-NL63 M pro
R	in-context	SARS-CoV
R	in-place	Hubei
R	is-a	configuration
R	same-as	number
R configuration	in-context	HCoV-NL63 M pro
R configuration	in-context	SARS-CoV
R genemediated disease resistance	has-part	components
R0	has-property	3.25 ≤ R 0 ≤ 3.4
R0	has-property	above
R0	has-property	comparable
R0	has-property	estimated
R0	in-context	3.25 ≤ R 0 ≤ 3.4
R0	in-context	COVID-19
R0	is-a	reproductive number
R0	same-as	reproductive number
R0 = 1 + r * Tc	in-context	Tc = 7.5
RAS	has-property	significant
RAS	is-a	pathways
RBD	has-part	amino acid
RBD	has-property	form
RBD	in-context	COVID-19-related CoV
RBD	in-context	SARS-related CoV
RBD	is-a	coronaviruses
RBD	is-a	domain
RBD	is-a	protein
RBD	same-as	receptor-binding domain
RBD region	has-property	dN/dS ratio
RBM	is-a	motif
RNA	causes	path
RNA	has-part	NP
RNA	has-part	PK region
RNA	has-part	human telomerase
RNA	has-property	30kb
RNA	has-property	human
RNA	has-property	microbial
RNA	has-property	positive-sense
RNA	has-property	positive-strand
RNA	has-property	satellite
RNA	has-property	singlestranded
RNA	in-context	SARS-CoV-2
RNA	in-context	human
RNA	in-context	microbial
RNA	in-context	positive-strand
RNA	in-context	virus
RNA	in-place	active site
RNA	in-place	virus
RNA extraction operations	in-context	alternative
RNA extraction operations	in-context	time-consuming
RNA markers	has-property	various
RNA molecules	has-property	2 μg
RNA viruses	in-context	10
RPE cells	has-property	KNTC1-nul
RSCs 27	entails	differences
RSCs 27	is-a	stem cells
RSV	is-a	pathogen
RT-LAMP	has-property	large value
RT-LAMP	has-property	positive
RT-LAMP	is-a	assays
RT-LAMP	is-a	reactions
RT-LAMP reactions	entails	specificity
RT-LAMP reactions	has-property	positive
RT-PCR	has-property	positive
RT-PCR	in-context	nasal
RT-PCR	in-context	patients
RT-PCR	in-context	pharyngeal
RT-PCR	in-place	swabs
RT-PCR	same-as	real-time reverse-transcriptase polymerase-chain-reaction
RT-PCR-based	is-a	methods
RXR activation	is-a	pathways
RaTG13	has-property	ancestor
RaTG13	has-property	evolution
RaTG13	in-context	SARS
Renmin	is-a	Hospital
Rgl pA	has-property	redundant
Rgl pA	is-a	signals
S	in-context	CVB3 3C pro
S	in-context	SARS-CoV
S	is-a	configuration
S	is-a	protein
S	is-a	proteins
S 103 protein	has-property	recombinant
S configuration	in-context	CVB3 3C pro complex
S protein	in-place	SARS-CoV
S proteins	has-part	folding pattern
S-29	is-a	protein
S-RBD	in-context	ACE2
S-protein	in-context	2019-30
S1	has-property	organization
S1	is-a	domains
S1	is-a	interfaces
S1-S2	is-a	interfaces
S2	has-property	organization
S2	is-a	domains
S2	is-a	interfaces
S416	has-property	best efficient
S416	is-a	chemical
SAC failure	has-property	severe
SAC failure	subject	RPE cells
SARS	has-part	proteome
SARS	has-property	ancestor
SARS	has-property	other
SARS	is-a	coronaviruses
SARS	same-as	severe acute respiratory syndrome
SARS-2002	has-part	residues
SARS-2002	has-property	loops
SARS-COV-2	has-part	M proteins
SARS-COV-2 infection	causes	liver injury
SARS-CoV	has-part	FP
SARS-CoV	has-part	M pro
SARS-CoV	has-part	NSP7
SARS-CoV	has-part	NSP8
SARS-CoV	has-part	S
SARS-CoV	has-part	S protein
SARS-CoV	has-part	S-RBD
SARS-CoV	has-part	antibodies
SARS-CoV	has-part	domain
SARS-CoV	has-part	genome
SARS-CoV	has-part	life cycle
SARS-CoV	has-part	particles
SARS-CoV	has-part	protease
SARS-CoV	has-part	proteins
SARS-CoV	has-part	titer
SARS-CoV	has-property	3a protein
SARS-CoV	has-property	FP
SARS-CoV	has-property	FP1
SARS-CoV	has-property	FP1_2
SARS-CoV	has-property	FP2
SARS-CoV	has-property	S-RBD structure
SARS-CoV	has-property	antigen staining
SARS-CoV	has-property	main protease
SARS-CoV	has-property	sequence
SARS-CoV	has-property	spike protein
SARS-CoV	has-property	transmissibility
SARS-CoV	in-context	NSP12
SARS-CoV	in-context	human
SARS-CoV	in-place	2003
SARS-CoV	is-a	Betacoronavirus genus
SARS-CoV	is-a	Sarbecovirus
SARS-CoV	is-a	coronavirus
SARS-CoV	is-a	coronaviruses
SARS-CoV	is-a	respiratory pathogen
SARS-CoV	is-a	virus
SARS-CoV NSP12	has-part	elongation complexes
SARS-CoV NSP12	has-part	norovirus 24
SARS-CoV RBD	has-part	R426
SARS-CoV S	has-part	folding pattern
SARS-CoV S	is-a	protein
SARS-CoV S-RBD	has-property	binding strength
SARS-CoV S-RBD	in-context	ACE2
SARS-CoV S-RBD structure	causes	use
SARS-CoV S-RBD structure	in-context	template
SARS-CoV-1	in-time	2003
SARS-CoV-2	causes	COIVD-19
SARS-CoV-2	causes	COVID-19
SARS-CoV-2	causes	death
SARS-CoV-2	causes	deaths
SARS-CoV-2	causes	exponential rise
SARS-CoV-2	causes	immunity against
SARS-CoV-2	causes	infection
SARS-CoV-2	causes	outbreak
SARS-CoV-2	causes	respiratory
SARS-CoV-2	causes	severe respiratory disease
SARS-CoV-2	entails	risk
SARS-CoV-2	has-part	HKU-1
SARS-CoV-2	has-part	OC43
SARS-CoV-2	has-part	ORF9b
SARS-CoV-2	has-part	RBD
SARS-CoV-2	has-part	RNA
SARS-CoV-2	has-part	RNA sequences
SARS-CoV-2	has-part	energy
SARS-CoV-2	has-part	fragments
SARS-CoV-2	has-part	genome
SARS-CoV-2	has-part	infection
SARS-CoV-2	has-part	nucleic acid
SARS-CoV-2	has-part	proteins
SARS-CoV-2	has-part	segment
SARS-CoV-2	has-part	sequence
SARS-CoV-2	has-part	unique capacities
SARS-CoV-2	has-property	148
SARS-CoV-2	has-property	149
SARS-CoV-2	has-property	70% cross immunity
SARS-CoV-2	has-property	PPID
SARS-CoV-2	has-property	PPID score
SARS-CoV-2	has-property	airborne
SARS-CoV-2	has-property	amplitude of seasonal variation
SARS-CoV-2	has-property	ancestor
SARS-CoV-2	has-property	canonical TRS-mediated 144 mechanism
SARS-CoV-2	has-property	evolution
SARS-CoV-2	has-property	genome
SARS-CoV-2	has-property	global spread
SARS-CoV-2	has-property	infection
SARS-CoV-2	has-property	infectious
SARS-CoV-2	has-property	isolate
SARS-CoV-2	has-property	load
SARS-CoV-2	has-property	new
SARS-CoV-2	has-property	pathogenesis
SARS-CoV-2	has-property	prognosis
SARS-CoV-2	has-property	seasonal variation
